GLA_Population_Estimate_2017,"Average_Age,_2017","Proportion_of_population_aged_0-15,_2015","Proportion_of_population_of_working-age,_2015","Proportion_of_population_aged_65_and_over,_2015","New_migrant_(NINo)_rates,_(2015/16)",Employment_rate_(%)_(2015),%_of_employment_that_is_in_public_sector_(2014),"Jobs_Density,_2015","Number_of_active_businesses,_2015",Two-year_business_survival_rates_(started_in_2013),"Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)",%_children_living_in_out-of-work_households_(2015),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),People_aged_17+_with_diabetes_(%),latitude,longitude,Area_name
8800,43.2,11.4,73.1,15.5,152.2,64.6,3.4,84.3,26130,64.3,1692,0.4,7.9,6.6,7.1,6.0,5.6,2.6,51.5155,-0.0922,City of London
209000,32.9,27.2,63.1,9.7,59.1,65.8,21.1,0.5,6560,73.0,56966,0.8,18.7,7.1,7.6,7.1,3.1,7.3,51.5607,0.1557,Barking and Dagenham
389600,37.3,21.1,64.9,14.0,53.1,68.5,18.7,0.7,26190,73.8,144717,1.1,9.3,7.5,7.8,7.4,2.8,6.0,51.6252,-0.1517,Barnet
244300,39.0,20.6,62.9,16.6,14.4,75.1,15.9,0.6,9075,73.5,108507,1.2,12.6,7.4,7.7,7.2,3.3,6.9,51.4549,0.1505,Bexley
332100,35.6,20.9,67.8,11.3,100.9,69.5,17.6,0.6,15745,74.4,87802,0.8,13.7,7.3,7.4,7.2,2.9,7.9,51.5588,-0.2817,Brent
327900,40.2,19.9,62.6,17.5,14.4,75.3,13.9,0.6,15695,78.6,153908,1.2,10.2,7.5,7.9,7.4,3.3,5.2,51.4039,0.0198,Bromley
242500,36.4,17.3,71.0,11.7,60.7,69.2,12.4,2.2,31385,73.6,46601,0.5,16.5,7.1,7.4,7.1,3.6,3.9,51.529,-0.1255,Camden
386500,37.0,22.0,64.9,13.0,32.3,75.4,20.1,0.6,15540,75.3,140049,1.0,14.1,7.1,7.6,7.2,3.3,6.5,51.3714,-0.0977,Croydon
351600,36.2,21.4,66.8,11.8,65.2,72.7,13.6,0.7,18700,75.8,112845,0.9,13.1,7.3,7.6,7.3,3.6,6.9,51.513,-0.3089,Ealing
333000,36.3,22.8,64.4,12.8,43.8,73.0,21.7,0.6,13925,74.2,119653,1.0,17.4,7.3,7.6,7.3,2.6,7.0,51.6538,-0.0799,Enfield
