Borough,Vietnamese Restaurant,Falafel Restaurant,French Restaurant,Seafood Restaurant,Italian Restaurant,Restaurant,German Restaurant,Sushi Restaurant,Modern European Restaurant,Chinese Restaurant,South American Restaurant,English Restaurant,American Restaurant,Ramen Restaurant,Indian Restaurant,Mediterranean Restaurant,Empanada Restaurant,Portuguese Restaurant,Turkish Restaurant,Spanish Restaurant,Japanese Restaurant,Szechuan Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Cantonese Restaurant,Tapas Restaurant,Israeli Restaurant,Lebanese Restaurant,Scandinavian Restaurant,North Indian Restaurant,Korean Restaurant,Eastern European Restaurant,Middle Eastern Restaurant,Kebab Restaurant,Argentinian Restaurant,Jewish Restaurant,Arepa Restaurant,Afghan Restaurant,Austrian Restaurant,Udon Restaurant,Caucasian Restaurant,Mexican Restaurant,Fast Food Restaurant,Greek Restaurant,Brazilian Restaurant,Thai Restaurant,Latin American Restaurant,Dim Sum Restaurant,Belgian Restaurant,Malay Restaurant,Okonomiyaki Restaurant,Peruvian Restaurant,Yoshoku Restaurant,Ethiopian Restaurant,Paella Restaurant,Persian Restaurant,New American Restaurant,Caribbean Restaurant,South Indian Restaurant,Sri Lankan Restaurant,Southern / Soul Food Restaurant,Polish Restaurant,Doner Restaurant,African Restaurant,Taiwanese Restaurant,Dumpling Restaurant,Yakitori Restaurant,Veneto Restaurant,Moroccan Restaurant,Ukrainian Restaurant,Bulgarian Restaurant,Hunan Restaurant,Shaanxi Restaurant,Indonesian Restaurant,Cajun / Creole Restaurant,Filipino Restaurant,Australian Restaurant,Iraqi Restaurant,Pakistani Restaurant,Halal Restaurant,Scottish Restaurant,Russian Restaurant,Molecular Gastronomy Restaurant
City of London,10,5,11,5,14,17,1,5,2,1,2,4,4,1,4,3,1,2,2,1,5,1,1,3,1,5,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking and Dagenham,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnet,0,0,1,0,5,0,0,3,0,2,0,0,1,0,3,3,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent,0,0,0,1,3,3,0,0,0,2,0,1,2,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromley,0,0,0,1,2,0,0,2,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden,3,1,8,3,15,9,0,4,3,3,1,5,1,4,7,4,0,1,6,2,11,0,5,5,0,4,0,1,2,0,8,0,5,2,1,0,0,0,1,0,0,2,1,5,1,4,0,0,1,1,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croydon,1,0,0,1,3,1,0,0,0,2,0,0,0,0,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ealing,2,0,1,0,5,4,0,2,0,2,0,1,1,1,6,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfield,0,0,0,0,1,2,0,0,0,1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwich,1,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
