area_name,lat,long,cat,restaurant count,borough
City Càphê,51.51474961713268,-0.09154479356888842,Vietnamese Restaurant,135,City of London
Pilpel,51.5137375307816,-0.09621640473558882,Falafel Restaurant,135,City of London
Coq d'Argent,51.513303279109444,-0.0910358067859018,French Restaurant,135,City of London
Le Relais de Venise,51.51472701617397,-0.08652679245633464,French Restaurant,135,City of London
Burger & Lobster,51.51308392919509,-0.11664504876394724,Seafood Restaurant,135,City of London
Manicomio,51.51536891323096,-0.09541400116488372,Italian Restaurant,135,City of London
Sweetings,51.512441662798395,-0.09272347457051053,Seafood Restaurant,135,City of London
The Fortnum's Bar & Restaurant,51.513599,-0.087253,Restaurant,135,City of London
Mangio,51.51252378066168,-0.09829163765233369,Italian Restaurant,135,City of London
Bierschenke,51.51719745515478,-0.08511513146191517,German Restaurant,135,City of London
SUSHISAMBA City,51.5161706567293,-0.08114755153656006,Sushi Restaurant,135,City of London
City Social,51.51511903438918,-0.08341495048569977,Restaurant,135,City of London
Ask For Janice,51.5191279178009,-0.10037390033325926,Modern European Restaurant,135,City of London
Scarpetta London,51.51105807369998,-0.08771656757017603,Italian Restaurant,135,City of London
Yauatcha,51.51882820696518,-0.08349768631963068,Chinese Restaurant,135,City of London
Assenheim 56,51.51350724450921,-0.10275160169272117,South American Restaurant,135,City of London
The Ivy City Garden,51.516493529502554,-0.08159987555896221,English Restaurant,135,City of London
Falafel,51.513237443617705,-0.10147347513020413,Falafel Restaurant,135,City of London
CHAO!NOW,51.512873133590226,-0.10120604989103851,Vietnamese Restaurant,135,City of London
St. John Bar and Restaurant,51.520437,-0.101382,English Restaurant,135,City of London
Club Gascon,51.518541,-0.100462,French Restaurant,135,City of London
The Fat Bear,51.51317310993627,-0.10126367347275944,American Restaurant,135,City of London
Shoryu Ramen,51.51878158401482,-0.08370369672775269,Ramen Restaurant,135,City of London
Indian City,51.513860142357416,-0.10433147881697381,Indian Restaurant,135,City of London
Luca,51.52201700365653,-0.10170250946216734,Italian Restaurant,135,City of London
Ottolenghi,51.51806846691673,-0.1338878933429876,Mediterranean Restaurant,135,City of London
Richard Haward's Oysters,51.50541222968203,-0.0910470950642226,Seafood Restaurant,135,City of London
Yum Bowl,51.52418283818258,-0.09607055712996349,Vietnamese Restaurant,135,City of London
Chao Viet Urban Taste,51.52434139190882,-0.09373957247394724,Vietnamese Restaurant,135,City of London
Wright Brothers Oyster & Porter House,51.505662,-0.091577,Seafood Restaurant,135,City of London
Moshi Moshi,51.518172498400176,-0.08196671712452108,Sushi Restaurant,135,City of London
Swan at the Globe,51.508300156198516,-0.09650509851132029,Restaurant,135,City of London
Porteña,51.50540875418928,-0.09100416010614616,Empanada Restaurant,135,City of London
Nando's,51.50762470325927,-0.16876548775967581,Portuguese Restaurant,135,City of London
HELIX Restaurant,51.514487831810285,-0.08036044975007965,Restaurant,135,City of London
La Tua Pasta,51.50566664207693,-0.09095830467525759,Italian Restaurant,135,City of London
Comptoir Gascon,51.51927049089587,-0.10319208542805022,French Restaurant,135,City of London
Padella,51.50507754661503,-0.0897817219098917,Italian Restaurant,135,City of London
Casa do Frango,51.504752,-0.092908,Portuguese Restaurant,135,City of London
The Iskelé,51.523967412896695,-0.0934525460298217,Turkish Restaurant,135,City of London
eatviet,51.517819693650445,-0.10510542777741909,Vietnamese Restaurant,135,City of London
Elpiniki Cypriot Kitchen,51.50560274340781,-0.09081795608121829,Mediterranean Restaurant,135,City of London
La Dame de Pic,51.51034483240141,-0.07902694407504281,French Restaurant,135,City of London
Rabot 1745,51.50542421885417,-0.08986669746066742,Restaurant,135,City of London
Sushi Tetsu,51.52334803901865,-0.10401516642254431,Sushi Restaurant,135,City of London
Pham Sushi,51.52343080881136,-0.09314279548812773,Sushi Restaurant,135,City of London
Caravan Bankside,51.50453327171197,-0.09691316619897597,Modern European Restaurant,135,City of London
